SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JHARKHAND,1997,9.5,3.7,1.5,29.4,25.2,230.4,400.5,431.6,199.6,54.3,39,36.6,1461.3,13.2,56.1,1262.1,129.8
JHARKHAND,1998,76.3,20.6,54.1,33.8,45.5,109.9,302.4,263.2,288.6,132.3,26.3,0.7,1353.8,97,133.4,964.1,159.3
JHARKHAND,1999,0.6,0.1,0.1,1.5,95.4,240.2,416,373.1,315.8,140.6,3.3,0.2,1586.9,0.7,97,1345.1,144.1
JHARKHAND,2000,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.2,1191.5,24.7,93.6,1053.4,19.7
BIHAR,1951,7.3,1.5,5.8,8.2,22.8,144.5,307.8,204.5,114.3,28.7,4.7,0.1,850.2,8.8,36.8,771.1,33.5
BIHAR,1952,1.1,10.3,20.1,24.6,57,272.5,212.5,291.9,297.7,15.4,3.4,0.4,1206.8,11.4,101.6,1074.5,19.3
BIHAR,1953,29.7,4.2,8.7,16.7,37.4,224.7,431.8,263.3,342.2,18.4,0.9,0.8,1378.7,33.9,62.7,1262,20.2
BIHAR,1954,12.5,8.4,0.8,0.6,40.9,166.6,366.1,308.6,129.5,15.1,0.2,1.3,1050.5,20.9,42.3,970.7,16.6
BIHAR,1955,20,6.7,2.3,11.9,28.2,172.5,505.7,268.7,192.2,35.7,0.3,0.1,1244.2,26.7,42.5,1139,36.1
BIHAR,1956,19.3,4.7,9.6,5.3,75.4,319.4,200.6,286.3,359.8,168.8,36,8.1,1493.4,24,90.4,1166.2,212.9
BIHAR,1957,75.2,2.8,11.6,0.5,1.3,115.6,334.5,295.8,115.2,11.6,0,2.7,966.9,78,13.4,861.2,14.4
BIHAR,1958,16,2.7,4.7,26.4,16.1,120.7,222.8,451.1,224.2,81.5,0.7,0.6,1167.4,18.7,47.2,1018.8,82.7
BIHAR,1959,81.2,1.5,9.4,18.6,35.7,132.3,245.8,264.2,157.1,233.8,0,0.1,1179.6,82.7,63.7,799.3,233.9
BIHAR,1960,1.4,0.1,42.7,5.2,49.9,117.6,357.4,285.5,348.1,37.9,2,0,1247.9,1.5,97.9,1108.7,39.9
BIHAR,1961,11.7,35.8,1.4,2,33.9,239.7,211.6,317.5,157.5,236,0.8,10.1,1258.1,47.5,37.3,926.3,246.9
BIHAR,1962,13,7.8,9.5,20.8,38.8,156.4,244.3,395.4,216.3,72.5,0,3.2,1178.1,20.8,69.1,1012.4,75.7
BIHAR,1963,3.4,1.7,9.4,17.5,78.9,154,375.4,273.5,255.7,138.7,17.8,0.2,1326.1,5.1,105.9,1058.6,156.6
BIHAR,1964,1.4,3.3,2.4,21.9,59.3,134.7,453.6,157.7,219,66.3,2.7,0,1122.5,4.7,83.6,965.1,69.1
BIHAR,1965,0.4,1.2,15.7,7.1,7.7,98.8,302.2,328.3,215,22.2,1.8,2.4,1002.7,1.7,30.4,944.3,26.3
BIHAR,1966,21.2,6.9,0.1,0.9,39.5,114.5,155.5,308.3,83.1,18.3,17.1,1.6,767,28.1,40.4,661.5,37
BIHAR,1967,0.2,0.1,38.6,30.6,23.6,80.7,278.2,282.1,253.8,10.3,0.1,1.5,999.9,0.2,92.8,894.8,12
BIHAR,1968,29.1,1.7,7,3,17.3,261.8,329.6,293.1,79.2,113.3,0,4.9,1140.1,30.8,27.3,963.7,118.2
BIHAR,1969,5.2,9.3,9.7,20.7,64.4,193.1,348.4,379.4,219.1,15.3,23.6,0.3,1288.6,14.5,94.8,1140.1,39.2
BIHAR,1970,22.1,13.4,3.2,17.9,39.2,194.6,284.2,235.6,229.5,34.5,0.4,0,1074.7,35.5,60.2,944,35
BIHAR,1971,17.3,14.6,5.1,91.4,81.5,278,307,367.9,129.2,138.6,1.9,0,1432.6,31.9,178,1082.2,140.5
BIHAR,1972,12.9,38,2.7,3.2,3.4,56.7,163.4,154.9,209.7,48.4,24.6,0,717.9,51,9.2,584.7,73
BIHAR,1973,22.9,10.2,3.8,4.4,65,200.9,185.1,258.9,271.4,158.2,8.3,0,1189,33.1,73.1,916.3,166.5
BIHAR,1974,3.9,0.7,21.9,9.9,39.1,129.4,451.6,317.5,229.2,28,0.3,3.7,1235.2,4.6,70.9,1127.7,32
BIHAR,1975,9.1,4.1,12,11,34.4,143.2,403.1,155.2,245.3,51.7,0,0,1069.1,13.2,57.5,946.7,51.7
BIHAR,1976,2.3,12.4,0.9,8.9,80.1,147.1,221,292.8,372.6,22.4,0.7,0.5,1161.7,14.7,90,1033.4,23.7
BIHAR,1977,5.3,2.9,1.3,17,83.7,102.5,375.5,266,121,147.1,8.1,17.3,1147.5,8.1,101.9,865,172.5
BIHAR,1978,13.4,27.8,16.8,24.5,51.8,190.4,313.6,252.6,248.6,142.8,4.8,3.7,1290.8,41.1,93,1005.2,151.4
BIHAR,1979,23.4,19.4,2.3,21.3,6.2,90.6,435.5,166.1,113,88.5,25.2,10.3,1001.9,42.9,29.8,805.2,124
BIHAR,1980,4.7,2.4,9.5,7.9,80.9,160.2,389.9,375.3,190.5,29.5,0.2,1,1252.2,7.1,98.4,1115.9,30.8
BIHAR,1981,31.3,5.7,14.3,47.9,86.3,107.9,580.1,311.3,168.8,1,6.1,3.9,1364.7,37,148.4,1168.1,11
BIHAR,1982,4.4,6.1,28.2,14.7,31,222.4,227.2,164.5,170.5,42.1,21.5,1,933.5,10.5,73.9,784.6,64.6
BIHAR,1983,13.1,1.7,8,45,81.1,101.2,353.8,195.8,220.6,69.9,0,14.1,1104.2,14.8,134.1,871.3,84
BIHAR,1984,28.6,33.9,1.3,11.2,65.6,353.4,476.4,216.9,219,15.4,1.5,3,1426.2,62.5,78.1,1265.8,19.9
BIHAR,1985,8.8,0.5,0.5,8,69.2,163.2,481.5,238,289,188,1.2,7.1,1455,9.3,77.7,1171.7,196.3
BIHAR,1986,1.1,13.9,0.5,16,94.3,168.4,395.7,263.5,221.1,124.2,1.3,22.1,1322.1,15,110.8,1048.6,147.6
BIHAR,1987,0.7,3.7,5.4,37.7,40.1,143.6,452,539.8,379.7,52.8,2.7,2.3,1660.4,4.3,83.1,1515.1,57.9
BIHAR,1988,1.2,15.3,27.3,46.9,46.2,174.5,364.5,459.4,153.2,33.7,1.5,13.8,1337.4,16.4,120.3,1151.6,49
BIHAR,1989,8.9,8.7,6.9,0.2,100.3,152.9,446,171.9,330.9,28.2,1,14,1269.9,17.5,107.4,1101.7,43.2
BIHAR,1990,0.3,30.2,13.8,14,83.3,156.6,485.5,204.4,201.2,49.7,0,0.2,1239.4,30.6,111.1,1047.8,49.9
BIHAR,1991,14.5,6.3,7.9,8.9,31.2,176.2,179.7,324.2,270.5,7.2,0,19.2,1045.7,20.7,48,950.5,26.5
BIHAR,1992,2.6,3.1,0.1,2.6,61.1,83.9,284.8,219.2,85.9,52.4,1.4,0.4,797.6,5.8,63.8,673.8,54.2
BIHAR,1993,9.4,4,24.5,24.5,51.1,154.8,209.1,357.3,320,34.3,19.3,0.1,1208.3,13.4,100.1,1041.2,53.6
BIHAR,1994,28.3,29.1,1,7,32.7,130.9,217.7,257.6,226.5,32.9,4.4,1.2,969.4,57.5,40.7,832.8,38.5
BIHAR,1995,6.8,11.6,2,0.1,6.7,162.9,227.5,335.7,279.1,11.4,44.4,23.8,1111.9,18.4,8.8,1005.1,79.6
BIHAR,1996,26,21.7,0.2,3,18.2,220.1,238.5,350.9,162.5,66.2,0,0,1107.2,47.7,21.4,972,66.2
BIHAR,1997,10.5,1.1,2.9,29.3,42.2,211,463.9,287.6,185.8,27.8,11,30.6,1303.7,11.6,74.4,1148.3,69.5
BIHAR,1998,8.4,11.2,23.6,26.6,38.2,96.6,465.1,377.4,188,83,14.5,0,1332.5,19.6,88.4,1127,97.5
BIHAR,1999,0.1,0.2,0.4,3.8,83.6,265.1,380.8,347.5,199.6,114.1,6.9,0.6,1402.7,0.3,87.8,1192.9,121.7
BIHAR,2000,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
EAST UTTAR PRADESH,1951,27.4,10.9,21.6,6.1,2.5,114.4,139.2,247.4,168.3,12.7,2,0.1,752.5,38.3,30.2,669.3,14.8
EAST UTTAR PRADESH,1952,2.8,12.8,33.7,2.7,9.4,244.8,161.9,350.1,110.8,4.4,0,2.6,935.9,15.6,45.8,867.5,7.1
EAST UTTAR PRADESH,1953,32.4,6.3,1.3,3.4,14.9,138.4,497.5,323.7,243.6,3.6,0,1.7,1266.9,38.7,19.6,1203.3,5.3
EAST UTTAR PRADESH,1954,36.5,32.1,1.7,0,3.6,65.2,309.9,300.4,186.5,33.6,0,0.2,969.7,68.6,5.2,862,33.8
EAST UTTAR PRADESH,1955,34.4,9.6,1.2,1.9,4.5,202.1,529.9,310.8,230.7,99.1,0,0.1,1424.3,44,7.6,1273.6,99.2
EAST UTTAR PRADESH,1956,21.5,5.7,12.3,1.2,39.7,165.2,220.3,281.1,292.3,167.2,38.9,8.7,1254.1,27.2,53.1,959,214.9
EAST UTTAR PRADESH,1957,44.2,0.4,18,1,1,56.4,367.3,293.5,163.3,5.1,0.1,5.4,955.7,44.6,20,880.5,10.5
EAST UTTAR PRADESH,1958,14.6,3.2,5.8,4.4,1.3,52.6,247.3,388.5,184.4,111.9,0,2.9,1016.9,17.8,11.5,872.8,114.8
EAST UTTAR PRADESH,1959,53.2,4.2,4.8,4.1,36,44.4,234.1,274.6,85.9,125.9,2,0,869.2,57.4,44.9,639,127.9
EAST UTTAR PRADESH,1960,9.6,0.1,36.3,2.9,5.9,75.2,411,317.2,174.5,136.7,0.6,0,1170,9.7,45.1,977.8,137.4
EAST UTTAR PRADESH,1961,24.7,25.6,0,1.6,6.6,92.7,285.1,407,154.8,203.5,0.6,11.9,1214.3,50.3,8.3,939.6,216
EAST UTTAR PRADESH,1962,28.6,17,9.2,4.8,3.2,81.7,226.3,428.1,265.4,2.3,0,5.4,1072,45.6,17.2,1001.4,7.7
EAST UTTAR PRADESH,1963,14.8,2.4,10,8.6,19.4,99.9,320.8,339.9,146.1,24.9,8,1.7,996.3,17.1,38,906.7,34.5
EAST UTTAR PRADESH,1964,1.6,6.6,0.2,3.7,43.4,82.9,398.7,179.9,292.2,18.3,0.8,8.5,1036.6,8.2,47.3,953.6,27.6
EAST UTTAR PRADESH,1965,2.1,0.7,9.9,19.3,2.7,21.4,204.5,213.6,161.7,47.9,0.5,1.2,685.5,2.8,32,601.1,49.6
EAST UTTAR PRADESH,1966,13.5,8.8,0.2,0,8.4,185.7,149.3,274.3,23.1,15,18.3,11.1,707.8,22.3,8.6,632.5,44.4
EAST UTTAR PRADESH,1967,2.1,0.1,30.5,9.2,8.1,81,264.7,443.3,155.9,2.7,0.7,31,1029.4,2.2,47.8,945,34.4
EAST UTTAR PRADESH,1968,28.8,5.5,4.5,2.6,1.7,95.1,311.3,251.1,104.1,32.9,0,2.3,840,34.3,8.8,761.8,35.2
EAST UTTAR PRADESH,1969,2.8,2.6,2.9,7,37.3,59.2,370.1,322.2,200.5,6.8,13.3,0,1024.6,5.4,47.2,952,20
EAST UTTAR PRADESH,1970,31.3,41.3,8.4,2.1,30.3,178.1,197.9,226.1,365.5,51.2,0.1,0,1132.3,72.6,40.8,967.5,51.4
EAST UTTAR PRADESH,1971,15.7,11.6,7.1,39.6,54.5,202.5,295.3,386.7,221.8,75.8,0.5,0,1311.1,27.3,101.3,1106.3,76.3
EAST UTTAR PRADESH,1972,9.7,23.4,3,1.1,1,26.9,185.8,208.3,167.8,24.6,14.8,0.4,666.9,33.1,5.1,588.9,39.7
EAST UTTAR PRADESH,1973,11.7,18.3,0.7,0,17.9,119.7,245.1,257.8,174.5,109.7,0.1,0.1,955.7,30,18.7,797,110
EAST UTTAR PRADESH,1974,0.5,3.2,4.9,0.2,7,53.3,375.6,257.4,126.6,38.2,1.5,13.7,882.2,3.7,12.1,813,53.4
EAST UTTAR PRADESH,1975,13.5,7.6,13.1,0.8,8,234.9,405.9,312.5,188.9,40.3,0,0,1225.5,21.1,21.9,1142.2,40.3
EAST UTTAR PRADESH,1976,6.1,3.5,0.2,5.7,23.4,61.4,254,309.3,254.8,4.8,0.3,0.1,923.5,9.5,29.4,879.5,5.2
EAST UTTAR PRADESH,1977,10.3,3.7,0.1,9.8,30.9,57.9,397.2,193.5,128.5,66.4,0.7,15.1,914.1,14.1,40.8,777.1,82.2
EAST UTTAR PRADESH,1978,27.9,27.2,31.6,9.6,6.5,187.1,327.2,262.6,219.1,12.2,1.6,3.9,1116.3,55,47.8,995.9,17.6
EAST UTTAR PRADESH,1979,27.6,30.6,2.3,6.8,12,85.2,320.6,118.1,31.6,18.5,33.6,9.6,696.5,58.2,21.1,555.5,61.7
EAST UTTAR PRADESH,1980,3,4.2,8.9,0.3,15.5,153.4,553.1,449.7,269.8,19.8,0.2,10.7,1488.5,7.1,24.7,1426,30.7
EAST UTTAR PRADESH,1981,19.6,3.7,11.8,4.8,29.2,80,436,216.8,293,1.4,10.9,3.1,1110.1,23.3,45.8,1025.7,15.4
EAST UTTAR PRADESH,1982,34.7,9.9,40.3,11.1,44.9,120.1,215.2,316.6,281.9,10.4,20.5,5,1110.6,44.6,96.3,933.8,35.9
EAST UTTAR PRADESH,1983,20,1.6,0.7,24.9,45.9,104.2,271,242.5,364.2,110.4,0,19.6,1204.8,21.6,71.5,981.9,129.9
EAST UTTAR PRADESH,1984,24,23.5,1.4,9.4,10.7,286.9,329.7,203.7,164.1,18.5,0,4.7,1076.7,47.5,21.6,984.4,23.3
EAST UTTAR PRADESH,1985,20.8,0,0.5,2.2,10.4,69.7,351.8,215.7,333.3,158.3,0,13.2,1175.9,20.8,13.1,970.5,171.6
EAST UTTAR PRADESH,1986,7.1,36.5,0.9,5.6,26,116.9,301,245.3,121.2,31.6,1,42.5,935.3,43.5,32.4,784.4,75
EAST UTTAR PRADESH,1987,11.1,6.4,2.6,6.4,22.2,20.7,215.9,167.6,289.5,78.7,0,3.5,824.7,17.5,31.3,693.7,82.2
EAST UTTAR PRADESH,1988,2.3,11.1,17.4,14,17.4,107,375.4,365,102.3,54.7,0,18.5,1085.1,13.4,48.8,949.7,73.2
EAST UTTAR PRADESH,1989,14.5,4.3,9.3,0,7.3,138.4,370.7,194.7,207.4,7.9,1.8,13.6,969.9,18.8,16.6,911.3,23.2
EAST UTTAR PRADESH,1990,0,42.6,9.5,1.8,42.3,135.7,488.8,212.2,153.9,12,0,7.4,1106.1,42.6,53.6,990.6,19.3
EAST UTTAR PRADESH,1991,8.6,10.9,7.9,3.9,4.1,98.2,123,395.9,201.6,0.2,2.7,18.3,875.2,19.5,15.9,818.7,21.1
EAST UTTAR PRADESH,1992,9,8.7,0.3,1.2,14,51.4,243.3,233.2,191.1,103.9,7.3,0,863.4,17.7,15.5,719,111.2
EAST UTTAR PRADESH,1993,1.7,5.1,23.2,8.9,33.9,162.5,142.6,206.6,240.7,7.8,0.5,0.3,834,6.8,66.1,752.4,8.6
EAST UTTAR PRADESH,1994,22.2,24.7,0.1,9.5,7.6,127.5,230.8,300.1,177.5,10,0.3,0,910.2,46.9,17.3,835.8,10.2
EAST UTTAR PRADESH,1995,19.2,23.1,1.9,2,2.1,133.8,173,290.4,187.2,2.4,16.7,8.4,860.5,42.3,6.1,784.5,27.6
EAST UTTAR PRADESH,1996,55.6,39.6,0.6,2.5,1.2,145.1,201,337.9,147.1,79.8,0,0,1010.3,95.2,4.3,831,79.8
EAST UTTAR PRADESH,1997,6,0.4,0.6,13.3,15.8,69.5,291.3,41.5,32.1,8.1,4.1,10.8,493.3,6.4,29.7,434.3,23
EAST UTTAR PRADESH,1998,9.5,8.6,14.2,6.6,20.1,55.4,218.3,247,63.8,14.5,3,0,661,18.1,41,584.4,17.5
EAST UTTAR PRADESH,1999,8.7,6.8,0,0.2,23.6,112.6,254.2,261.5,211.1,71,1,2,952.8,15.5,23.8,839.4,74.1
EAST UTTAR PRADESH,2000,2.6,5.3,2.9,10.5,38.6,199.1,240.9,204.7,222.7,1.3,18.1,0.2,946.8,7.9,52,867.4,19.5
WEST UTTAR PRADESH,1951,16.4,8.2,34.9,6.6,11.5,31.7,141,253.4,199.9,6.5,18.7,0,728.9,24.6,53.1,626,25.2
WEST UTTAR PRADESH,1952,6.6,20,23.4,2.6,8.1,190.8,198.8,379.1,36.2,2.3,0.1,7.3,875.3,26.5,34.2,804.8,9.7
WEST UTTAR PRADESH,1953,36.9,0.5,0,5.9,7.4,64.6,366.8,192.8,85.1,1.1,0,0.5,761.8,37.5,13.3,709.4,1.7
WEST UTTAR PRADESH,1954,34.9,67.6,11,0.1,0.7,40.8,232.5,222.7,169,99.9,0,0,879.3,102.5,11.8,665,99.9
WEST UTTAR PRADESH,1955,44.8,5.7,2.4,3.3,2.1,98.1,199.4,295.2,216.2,193.7,0,0,1060.9,50.5,7.7,808.9,193.7
WEST UTTAR PRADESH,1956,23.1,4.3,22.2,0.4,12.4,67.2,334.7,289.8,96.8,206.5,4.5,2.6,1064.4,27.4,35,788.5,213.6
WEST UTTAR PRADESH,1957,59.7,0.3,29.1,5.4,2.4,42.3,282.3,271.1,278.9,18.2,3.2,12.3,1005.2,60,36.8,874.6,33.8
WEST UTTAR PRADESH,1958,7.7,2.8,3.5,5.5,0.7,42.1,397.1,327.3,246.7,122.4,0.2,9.4,1165.3,10.5,9.6,1013.2,132
WEST UTTAR PRADESH,1959,46.3,3.9,5.7,1.3,34.1,18.9,203.5,281.1,106.8,50.2,16.5,0,768.3,50.2,41.1,610.3,66.6
WEST UTTAR PRADESH,1960,11.6,0,33.9,2.3,5.8,64.9,334.9,391.9,94.7,187.7,0,1.9,1129.8,11.7,42.1,886.4,189.7
WEST UTTAR PRADESH,1961,44.5,33.1,0.1,2.1,7.6,73.4,302.5,467.5,113.5,141.4,1.9,10.5,1198.3,77.7,9.8,956.9,153.9
WEST UTTAR PRADESH,1962,34,18.6,15.1,0.8,2.2,45.9,221.2,238,214.6,0.1,1.6,6.1,798.2,52.6,18.1,719.7,7.8
WEST UTTAR PRADESH,1963,13.6,5,5.2,3.5,9.7,70.9,165.4,361.4,279.5,0.3,10.9,4.3,929.7,18.5,18.4,877.2,15.6
WEST UTTAR PRADESH,1964,2.3,0.8,1.9,0.6,20.2,38.8,416.3,246.7,261,1.6,0.2,11.6,1002,3.1,22.6,962.9,13.4
WEST UTTAR PRADESH,1965,8,10.4,10.6,21.1,10.6,3.7,215.4,219.4,148.4,25.3,0,0.7,673.5,18.4,42.2,586.9,26
WEST UTTAR PRADESH,1966,6,13,0.8,0.2,20.5,143.3,146.5,356.5,49.3,9.3,7.8,2.9,756,19,21.5,695.6,19.9
WEST UTTAR PRADESH,1967,0.5,0.1,34.4,1.3,3.8,51.8,263.6,509.6,223.5,4.8,2.1,61.6,1157.2,0.6,39.4,1048.6,68.5
WEST UTTAR PRADESH,1968,21.8,8.4,10,0.3,0.1,46.4,319.3,205,64.7,15.6,0,1.5,693.3,30.2,10.4,635.5,17.2
WEST UTTAR PRADESH,1969,5.8,3,10,4.8,16.6,17.1,311.4,262.4,231.2,0.4,15.4,0,878.1,8.8,31.4,822.2,15.8
WEST UTTAR PRADESH,1970,37.8,44.6,9.3,0.1,15.5,129,133.6,316.3,160.8,16.9,0,0,863.8,82.3,24.8,739.7,16.9
WEST UTTAR PRADESH,1971,10.9,12.5,2.9,11.5,44.7,139.1,284.6,280.5,125.7,84.3,6.2,0,1003.1,23.4,59.2,830,90.6
WEST UTTAR PRADESH,1972,4,26.3,4.5,3.1,0.4,31.9,165.9,211.5,119,7.5,9.4,1.6,585.1,30.3,8,528.3,18.5
WEST UTTAR PRADESH,1973,7.5,12.7,2.6,0,7.9,79.9,263.5,292,87.1,51,0.1,1.7,805.9,20.2,10.5,722.4,52.8
WEST UTTAR PRADESH,1974,0.2,0.7,0.8,0.1,7.9,25.8,356.6,191.5,27.6,39.1,0,18.6,668.9,0.9,8.7,601.5,57.7
WEST UTTAR PRADESH,1975,13.4,7.8,7,0.8,2.5,159.7,273.1,245.6,256.9,22.6,0,0,989.5,21.2,10.3,935.3,22.6
WEST UTTAR PRADESH,1976,1.5,11.9,2.9,2.3,11,69.8,228.8,246.1,75.2,2.6,0.6,0.3,653.2,13.4,16.2,620,3.6
WEST UTTAR PRADESH,1977,15.9,2.8,0.2,20,22.7,78.5,440.6,192.3,176.1,27.8,0.3,17.2,994.3,18.7,42.8,887.5,45.3
WEST UTTAR PRADESH,1978,6,31.7,57.1,8.3,0.7,206.2,279.7,397,244.9,3.5,2.7,6.2,1244.2,37.7,66.1,1127.9,12.5
WEST UTTAR PRADESH,1979,45.1,48.6,10.6,2.3,29.9,56.7,240.8,69.7,26.6,1.7,18.6,7.4,558,93.7,42.8,393.7,27.8
WEST UTTAR PRADESH,1980,4.5,4.8,19.3,0.4,2.2,104.7,349.4,364.4,99.3,16.1,1.4,18.1,984.7,9.2,21.9,917.9,35.6
WEST UTTAR PRADESH,1981,19,5.2,13.4,1.3,22.7,102.2,314.5,131.4,101.9,3.1,20.6,4.2,739.6,24.3,37.5,650,27.9
WEST UTTAR PRADESH,1982,30.5,8.3,61.8,23.8,40.5,53.1,231.1,403.4,81.8,8.7,14.4,11.6,969.1,38.8,126.2,769.4,34.7
WEST UTTAR PRADESH,1983,28.1,5.4,5.5,59.8,33.7,89.7,306.7,385.5,212.6,50.7,0,14,1191.7,33.5,99,994.4,64.7
WEST UTTAR PRADESH,1984,24.7,27.5,0.6,7.4,0.3,134.5,200.2,268.3,116.6,0.4,0,0.7,781.3,52.2,8.3,719.6,1.1
WEST UTTAR PRADESH,1985,7.5,0,1.7,6.9,6.1,44.3,305.5,221.8,204.4,143.8,0,15.2,957.2,7.5,14.7,776,159
WEST UTTAR PRADESH,1986,14.8,46.5,5.7,3.9,29.8,95.3,202.6,181,105.5,15.1,2.1,13,715.2,61.3,39.5,584.3,30.1
WEST UTTAR PRADESH,1987,15.2,13.1,2.7,1.8,39.8,34.6,105,124.2,92.4,30.8,0,7.3,466.8,28.4,44.2,356.1,38.1
WEST UTTAR PRADESH,1988,3.5,11.4,26.6,8,6.1,85.6,318,412.7,139.6,14.9,0,9.1,1035.6,14.9,40.7,956,24
WEST UTTAR PRADESH,1989,24.6,1.1,15.4,0,1.6,88.5,132.1,222,153.6,0.4,4.1,14,657.3,25.7,17,596.1,18.4
WEST UTTAR PRADESH,1990,0,67.5,9.2,0.7,29.8,45.9,334.2,195.9,250.4,3.7,3.5,17.4,958,67.5,39.7,826.4,24.5
WEST UTTAR PRADESH,1991,2.9,18.9,7.5,2.9,2.7,44.8,108.6,406.2,124.7,0,7.9,21.7,748.7,21.8,13.1,684.3,29.6
WEST UTTAR PRADESH,1992,14.2,9.7,4,0.3,7.9,25.9,196.9,306.1,179.4,67.4,8.9,0,820.6,23.9,12.1,708.3,76.3
WEST UTTAR PRADESH,1993,3.7,13.5,21.2,1,15.2,82,156.6,136.9,326.8,15.1,0.1,0,771.9,17.1,37.4,702.2,15.1
WEST UTTAR PRADESH,1994,24,17.3,0,12.4,6.5,72.5,364.3,290.2,19.7,0,0,0.1,806.8,41.2,18.9,746.6,0.2
WEST UTTAR PRADESH,1995,30.1,11.2,7.9,3.7,0,72.2,188.3,389.2,122.1,0.1,0.2,1.9,826.8,41.3,11.6,771.7,2.2
WEST UTTAR PRADESH,1996,24.8,55.8,2.7,0.4,3.7,86.1,210.3,350.4,170.7,36.2,0,0,941.2,80.6,6.9,817.5,36.2
WEST UTTAR PRADESH,1997,3.8,0.7,2.4,19.2,22.8,79.9,235.7,34.6,24,7.5,3.2,11.4,445.2,4.5,44.3,374.2,22.1
WEST UTTAR PRADESH,1998,3.3,8.1,23.5,9,10.4,71.4,273.4,343.7,84.2,39.6,0.7,0,867.2,11.4,42.9,772.7,40.2
WEST UTTAR PRADESH,1999,19.3,1.1,0,0,8.3,66.3,215.1,180.5,261.6,33.4,0.1,0.7,786.4,20.5,8.3,723.5,34.2
WEST UTTAR PRADESH,2000,8.8,22.9,1.7,2.1,23.6,143,251.2,238.9,79.1,0,0,0,771.4,31.7,27.4,712.2,0.1
UTTARAKHAND,1951,54,41.8,46.8,30.7,61.7,74,200.9,403,204.2,13.5,43.8,0.1,1174.3,95.7,139.1,882,57.4
UTTARAKHAND,1952,39.4,61.1,125.5,19.9,34.8,241,346.1,506.4,82.4,11.2,3.6,6.4,1477.8,100.5,180.2,1175.9,21.2
UTTARAKHAND,1953,118.1,14.8,18.3,34.7,71.2,181.8,617.5,338.9,125.8,9.8,0,35,1565.8,132.9,124.2,1263.9,44.8
UTTARAKHAND,1954,117.9,155.7,22.3,5.2,27.6,111.6,472.6,567.3,217.2,148.6,3.4,13.4,1862.9,273.6,55,1368.7,165.5
UTTARAKHAND,1955,84.7,14.2,51.9,41.1,19.8,151.4,356.1,429,236.3,271.2,0,11.3,1666.9,98.9,112.8,1172.8,282.4
UTTARAKHAND,1956,40.5,24.9,105.3,15.1,132.4,213.9,466.4,359.3,182.7,370.4,5.9,26.1,1943,65.4,252.8,1222.3,402.4
UTTARAKHAND,1957,166.4,6.6,77.5,73.3,75.9,113.4,532.1,286.5,308.3,57.7,20.1,62.9,1780.7,173,226.7,1240.3,140.6
UTTARAKHAND,1958,59.2,16.5,38.7,23.3,26.3,95.3,436.6,436.2,233.4,78.9,2.5,52.1,1499,75.6,88.3,1201.5,133.6
UTTARAKHAND,1959,68,93.3,58.1,20.3,49,118.8,483.5,442.3,294.6,87.9,26.2,0.9,1743,161.2,127.4,1339.3,115
UTTARAKHAND,1960,80,1.4,97.1,33.5,24,132.4,466.7,420.7,189.2,76.6,2.2,16.3,1540.1,81.5,154.6,1209,95.1
UTTARAKHAND,1961,126.3,133.7,24.1,20.5,41,181.2,490.1,511.6,226.4,122.7,13.1,57.5,1948.3,260,85.6,1409.4,193.3
UTTARAKHAND,1962,79.5,86.3,68.7,27.3,21.5,150.9,402.2,398.2,341.5,8.6,29,33.9,1647.4,165.8,117.4,1292.8,71.5
UTTARAKHAND,1963,17.4,35.5,130.9,51.4,49.3,193.1,360.9,523.4,345.1,10.8,43.9,40.2,1802,52.8,231.6,1422.5,95
UTTARAKHAND,1964,89.7,72.5,75,48.4,95.2,162.7,463.8,402,327.6,1.3,0,31.3,1769.6,162.2,218.6,1356.2,32.6
UTTARAKHAND,1965,44.4,159.5,119.3,62.1,44.1,50.3,388,302.8,87.5,33,11.8,2.9,1305.7,204,225.4,828.6,47.7
UTTARAKHAND,1966,3.2,86.6,48.9,17.8,76.7,270,363,410.3,125.7,35.1,15.3,13.3,1465.8,89.8,143.5,1168.9,63.6
UTTARAKHAND,1967,11,35,112.5,26,23.2,122.6,436.3,518.7,146.5,22,22.4,79.9,1556.2,46.1,161.7,1224,124.3
UTTARAKHAND,1968,173.1,122.8,62.9,49,15,218.6,393.6,280.6,109.6,13,1.4,38.9,1478.6,296,126.9,1002.4,53.3
UTTARAKHAND,1969,79.8,43.1,49,60.7,77,89.6,381,483.5,345.6,25.3,0.2,1,1635.7,122.9,186.7,1299.6,26.5
UTTARAKHAND,1970,85.9,44,32.7,5.7,68.9,192.9,319.2,355.3,157.8,30,0.8,0.2,1293.5,129.9,107.3,1025.3,31.1
UTTARAKHAND,1971,52.4,101.4,45.3,69,270.2,297.8,332.8,377,155.9,79.5,22,0.3,1803.8,153.9,384.5,1163.6,101.9
UTTARAKHAND,1972,30.3,91.7,44.7,50.5,7.4,62.8,315.4,218.8,212.6,18.8,7.9,17,1077.8,122,102.6,809.6,43.6
